symbol,SL32271,SL5882,SL6338,SL6407,SL6409,SL6663,SL6670,SL7380,SL7622,SL7854
ABHD16B,576,117,582,270,512,397,500,494,305,127
ABHD17A,6679,1580,4397,3000,4382,6656,7208,5387,5204,2112
ABHD17B,336,193,838,471,1416,669,989,1465,823,651
ABHD17C,568,386,1395,464,2204,1250,1547,2672,1333,623
ABHD18,350,133,386,311,617,421,596,753,587,535
ABHD2,2353,1074,4518,2040,7964,2469,4130,8619,4341,2724
ABHD3,144,111,344,562,475,243,541,580,338,393
ABHD4,827,427,1522,1646,1710,876,1373,2109,1454,1111
ABHD5,169,102,273,308,529,196,325,648,336,360
ABHD6,446,290,950,458,1292,763,1356,1681,983,670
ABHD8,3447,857,2896,1011,2625,3538,4795,4298,2663,898
ABI1,949,761,2482,1487,4650,2141,3343,5301,2609,1821
ABI2,5406,4845,15867,4341,29350,16358,21120,34867,18149,6249
ABI3,136,32,98,234,83,116,88,123,105,150
ABI3BP,506,239,1601,350,1030,323,413,1786,1196,1111
ABITRAM,343,318,726,361,1215,673,1143,1425,752,414
ABL1,3406,1471,4761,4581,4711,2658,4251,5647,4117,3300
ABL2,1574,1392,4061,2247,7059,3659,4450,8157,3908,2403
ABLIM1,3179,3355,8329,6337,16603,6439,9059,18281,9971,6320
ABLIM2,5425,3406,9062,2015,11758,10187,13074,14078,9612,1619
ABLIM3,1206,879,2399,1097,3352,2030,2585,4069,2974,1344
ABO,84,34,43,25,14,14,29,9,55,42
ABR,20572,12323,32655,12426,42526,27920,33829,50273,33583,12726
ABRA,2,0,3,1,6,0,3,3,3,2
ABRACL,75,24,85,38,159,141,205,227,105,38
ABRAXAS1,29,19,91,81,92,95,101,143,90,103
ABRAXAS2,186,117,387,232,741,359,481,842,416,254
ABT1,240,120,346,195,586,426,575,569,338,158
ABTB1,5136,2761,4911,1479,5004,7811,9836,6110,5494,1605
ABTB2,968,319,869,1228,1059,702,1333,1458,1091,940
ABTB3,280,202,659,86,1186,678,410,2037,1028,216
ACAA1,924,507,1224,742,1711,1276,1710,1805,1174,836
ACAA2,397,292,1193,778,1391,751,1150,1904,769,858
ACAA2P1,14,6,14,12,22,13,17,17,16,20
ACACB,1212,834,1905,1058,2605,1437,2146,2284,2224,2254
ACAD10,566,318,790,490,1091,847,1099,1189,894,856
ACAD11,9,2,7,3,7,2,1,10,5,11
ACAD8,831,551,1551,633,2150,1336,1728,2573,1605,594
ACAD9,767,420,1059,509,1870,1192,1499,1882,1255,674
ACADL,54,27,114,75,151,58,73,170,64,110
ACADM,511,350,962,586,1756,1122,1772,2245,1112,1042
ACADS,538,293,487,566,567,586,843,707,692,519
ACADSB,632,495,1311,393,2633,1050,1479,3394,1673,728
ACADVL,5251,3587,5476,6972,8431,7518,10315,9436,7304,4514
ACAN,98,17,69,71,51,54,47,54,63,66
ACAP1,525,332,850,517,810,777,862,846,985,947
ACAP2,586,377,1626,858,2161,1171,1922,2982,1425,1888
ACAP3,31253,16475,20659,9994,25525,44642,55656,27061,28951,10262
ACAT1,535,414,1131,752,2049,1104,1482,2228,1013,881
ACAT2,156,135,442,123,561,463,524,641,365,187
ACBD3,361,271,963,733,1599,995,1202,2059,1137,786
ACBD3-AS1,7,0,3,4,8,3,7,5,5,11
ACBD4,1102,408,1075,427,879,1108,1408,1293,1177,624
ACBD5,716,584,2111,1043,3241,1904,2492,4390,2529,2179
ACBD6,70,92,85,112,144,117,205,160,211,139
ACBD7,561,405,1287,672,1588,653,1265,2713,1148,981
ACCS,310,212,322,123,384,197,374,616,487,230
ACCSL,1,1,3,10,2,0,1,2,1,1
ACD,986,630,1112,1325,1922,1546,1892,1590,1183,497
ACE,706,498,712,208,739,614,1407,706,591,225
ACE2,10,8,14,16,23,8,15,18,7,8
ACE2-DT,0,0,0,0,1,0,1,1,0,1
ACE3P,0,0,0,1,0,0,0,0,0,0
ACER1,3,0,9,7,7,4,2,3,3,4
ACER2,114,21,73,149,72,38,101,112,71,141
ACER3,793,447,1809,1168,2671,1794,2185,3252,2148,2082
ACHE,5283,2843,6186,1350,8389,8006,9924,9199,7401,1144
ACIN1,2541,1612,3851,3099,4504,3787,5130,6095,4777,3748
ACKR1,838,323,1455,492,1465,1181,1178,1354,781,163
ACKR2,23,11,61,30,55,19,34,87,59,47
ACKR3,167,114,343,215,538,164,400,490,262,325
ACKR4,4,2,6,9,14,1,7,7,10,14
