symbol,SL6124,SL6125,SL6126,SL6641,SL6662,SL6670,SL7380,SL7401
CT47A3,0,0,0,0,0,0,0,0
CT47A4,0,0,0,0,0,0,0,0
CT47A5,0,0,0,0,0,0,0,0
CT47A7,0,0,0,0,0,0,0,0
CT47A8,0,0,0,0,0,0,0,0
CT47A9,0,0,0,0,0,0,0,0
CT47B1,0,0,1,0,0,1,0,0
CT55,3,5,2,4,9,11,7,4
CT62,3,2,16,5,1,8,3,1
CT66,7,4,8,11,3,8,8,2
CT69,7,3,9,10,6,6,5,2
CT70,2,2,3,6,1,0,0,1
CT75,23,49,59,102,83,73,149,65
CT83,0,0,0,0,1,0,0,0
CTAG1B,0,0,0,0,0,0,0,0
CTAG2,0,0,0,0,0,0,0,22
CTAGE1,1,1,3,0,2,0,0,0
CTAGE10P,0,0,2,1,1,1,2,0
CTAGE11P,1,1,1,3,0,0,0,1
CTAGE12P,1,1,1,2,0,0,2,0
CTAGE13P,0,2,11,12,11,4,4,1
CTAGE14P,5,2,2,5,2,7,6,2
CTAGE15,0,0,0,0,0,0,0,0
CTAGE16P,1,0,3,4,2,0,1,1
CTAGE3P,17,7,29,18,8,17,26,11
CTAGE4,0,0,0,0,0,0,0,0
CTAGE6,0,0,4,0,1,0,0,4
CTAGE7P,18,9,34,20,29,34,26,18
CTAGE8,0,2,3,0,0,1,3,1
CTAGE9,1,0,2,1,0,1,3,0
CTB-178M22.2,9,11,39,27,11,28,23,17
CTBP1,4656,5558,10662,15250,10931,15344,15066,6791
CTBP2,547,644,1840,1258,1034,1310,1942,633
CTBP2P4,0,0,6,0,1,2,2,0
CTBP2P7,12,5,52,33,10,21,15,18
CTBS,136,219,226,506,296,310,513,273
CTC-338M12.4,22,16,71,53,31,59,50,22
CTC1,628,656,690,1352,1291,1319,1695,709
CTCF,1188,1361,2502,2919,2536,3078,4323,1643
CTCFL,3,5,20,6,1,0,7,1
CTD-2194D22.4,0,0,3,2,0,1,0,0
CTD-2297D10.2,5,3,3,3,3,2,13,14
CTD-2350J17.1,0,0,1,2,1,0,2,0
CTD-3080P12.3,1,1,3,1,9,9,3,0
CTDNEP1,511,594,975,1471,1057,1356,1741,816
CTDP1,298,313,735,853,769,796,1004,468
CTDSP1,704,902,1548,2038,1520,2101,2532,1062
CTDSP2,3043,3113,6970,6318,6270,6338,9108,3608
CTDSPL,1038,900,2270,3250,2356,3243,3283,1216
CTDSPL2,374,409,594,722,740,814,1341,553
CTF1,50,102,143,212,162,207,239,126
CTF2P,16,3,34,9,4,5,7,4
CTH,44,86,310,115,120,133,239,98
CTHRC1,17,6,52,20,15,22,35,8
CTHRC1P1,0,1,0,1,0,0,0,0
CTIF,2963,3670,6005,10413,7435,8070,9585,4491
CTLA4,2,2,2,5,1,10,9,1
CTNNA1,3958,5979,10212,10486,8887,9713,13421,4800
CTNNA2,2560,3925,2325,5603,6140,5518,9335,3797
CTNNA3,563,328,1076,912,693,1045,1466,574
CTNNAL1,137,157,326,236,164,290,415,160
CTNNB1,4463,6066,6477,9607,9240,8591,18151,5379
CTNNBIP1,401,497,798,1154,980,1248,1544,609
CTNNBL1,364,488,872,1083,963,1158,1412,590
CTNNBL1P1,0,0,0,2,0,0,0,1
CTNND1,1331,1924,2868,3169,2876,2618,4449,1521
CTNND2,7615,9617,14845,22047,17456,17147,24071,10000
CTNS,267,295,503,647,549,717,710,238
CTPS1,364,426,392,675,743,648,1140,618
CTPS2,239,275,423,600,446,573,830,259
CTR9,1228,1380,2624,2581,2558,2676,3837,1608
CTRB1,4,1,25,4,4,4,6,1
CTRB2,5,11,67,19,11,11,9,5
CTRC,3,4,41,9,4,7,0,6
CTRL,0,0,0,0,1,0,0,2
CTSA,839,1055,1833,2245,1634,2244,2305,1122
CTSB,6735,12269,11962,24166,14613,17282,24667,9747
CTSC,110,364,183,351,307,264,468,207
CTSD,2344,3264,5099,8974,5918,9182,7524,3723
CTSE,1,2,3,2,0,0,0,0
CTSF,2187,3056,4750,5783,5163,7645,7926,3117
CTSG,1,0,1,2,0,0,0,0
CTSH,450,756,877,1931,858,938,853,393
CTSK,32,42,95,105,74,82,150,38
CTSL,494,694,1502,1300,1212,1705,1815,911
CTSL3P,0,0,6,3,0,0,0,0
CTSO,397,489,399,962,976,1059,1564,516
CTSS,105,269,130,253,128,186,266,56
CTSV,12,7,20,24,9,18,19,8
CTSW,6,8,26,33,7,23,13,2
CTSZ,975,1571,2188,2393,2135,2389,2945,1203
CTTN,2000,2020,4188,4287,4436,5808,5617,2917
CTTNBP2,1045,1170,1913,2696,3279,3198,3718,1473
CTTNBP2NL,538,685,1165,987,960,1030,1921,875
CTU1,106,81,465,239,213,364,335,152
CTU2,217,355,696,847,743,1043,853,576
CTXN1,5530,7064,18415,23290,18886,27647,22876,15339
CTXN2,27,32,38,72,62,70,91,58
CTXN3,22,29,46,62,47,59,69,17
CTXND1,826,762,1975,1928,2587,2503,4599,914
CUBN,143,94,286,318,156,124,132,65
CUBNP1,0,0,2,1,1,0,0,0
CUBNP2,1,0,12,1,0,0,0,1
CUBNP3,1,1,9,9,0,3,1,1
CUEDC1,727,870,1435,2391,1810,2723,2678,850
CUEDC2,872,1117,1819,2491,2137,3321,2799,1438
CUL1,1205,1677,1813,2632,2570,2737,4418,1709
CUL2,772,976,865,1470,1611,1651,2935,1044
CUL3,1325,1521,1737,2730,2875,2593,4707,1714
CUL4A,741,901,1604,1633,1334,1479,2221,896
CUL4B,1269,1516,1163,2468,2383,2180,5102,1740
CUL5,645,733,849,1294,1651,1523,2415,929
CUL7,1317,1490,1830,2611,2775,2814,3079,1756
CUL9,1878,2248,3610,5558,5162,6382,4643,2629
CUTA,597,941,1539,2556,1929,2963,3044,1481
CUTALP,980,1083,703,663,630,781,2065,994
CUTC,165,242,234,406,380,553,642,316
CUX1,2605,3052,5540,8478,6450,7084,9252,3730
CUX2,136,176,429,449,242,386,428,87
CUZD1,22,10,88,46,26,41,53,11
CWC15,327,337,948,799,694,1177,1298,613
CWC22,389,375,1055,880,768,924,1322,597
CWC27,387,439,917,1079,840,1089,1424,806
CWF19L1,118,156,238,332,259,390,553,238
CWF19L2,558,565,1620,1640,1183,1601,2087,815
CWH43,1,5,9,6,4,1,6,3
CX3CL1,4370,5727,4412,16942,13402,14419,16231,5001
CX3CR1,275,435,18,494,410,338,1292,40
CXADR,594,672,498,1424,1531,1544,2699,936
CXADRP1,0,0,0,0,0,0,0,0
CXADRP3,1,0,6,6,1,1,0,4
CXCL1,3,5,57,9,4,25,11,46
CXCL10,28,6,10,7,2,6,4,6
CXCL11,72,6,30,10,2,4,5,6
CXCL12,253,455,207,1005,979,1040,1447,146
CXCL13,2,0,7,0,1,1,59,3
CXCL14,964,1028,2198,1238,1427,2552,3947,1245
CXCL16,268,518,496,760,324,413,678,260
CXCL17,5,4,18,22,5,14,2,4
CXCL2,18,17,57,46,12,18,40,49
CXCL3,9,4,12,12,7,2,13,16
CXCL5,30,71,140,69,79,67,204,112
CXCL6,1,0,5,3,1,3,3,1
CXCL8,0,24,126,23,5,12,15,26
CXCL9,5,6,6,25,7,6,2,1
CXCR1,4,7,10,3,0,3,2,3
CXCR2,4,11,28,14,4,6,7,4
CXCR3,3,1,33,3,3,5,6,3
CXCR4,85,284,106,396,173,216,286,18
CXCR5,0,0,0,1,0,0,0,0
CXCR6,10,2,13,11,7,6,9,0
CXorf38,137,168,232,275,198,279,359,202
CXorf49,0,0,0,0,0,0,0,0
CXorf49B,0,0,0,0,0,0,0,0
CXorf51A,0,0,0,0,0,0,0,0
CXorf51B,0,0,0,0,0,0,0,0
CXorf56,208,320,434,697,468,574,1116,472
CXorf58,5,5,10,10,2,2,7,4
CXorf65,0,0,6,4,5,1,1,1
CXorf66,0,1,0,2,1,0,0,0
CXXC1,1039,1031,3788,2916,2300,3989,3041,1671
CXXC1P1,0,1,9,3,0,0,0,1
CXXC4,446,416,331,883,877,967,1992,444
CXXC4-AS1,37,30,36,64,58,55,71,31
CXXC5,501,1206,1259,2852,1383,2021,2029,483
CXXC5-AS1,1,1,13,8,10,14,6,0
CYB561,2147,1852,2011,4150,2483,2740,4638,2509
CYB561A3,340,402,446,1015,707,807,1061,385
CYB561D1,423,440,798,959,962,992,1309,514
CYB561D2,76,98,233,254,248,350,342,144
CYB5A,141,182,455,338,264,522,539,328
CYB5B,663,864,1546,1434,1395,1571,2669,1112
CYB5D1,503,495,821,1178,956,983,2006,734
CYB5D2,625,735,847,1638,1365,1465,2217,934
CYB5R1,540,624,1015,1207,965,1375,1710,734
CYB5R2,126,82,164,200,357,512,546,55
CYB5R3,4346,5585,11768,14756,11120,13304,13435,7718
CYB5R4,209,252,461,578,490,651,781,354
CYB5RL,67,66,115,199,165,155,260,87
CYBA,157,276,462,586,290,435,631,275
CYBB,147,908,38,423,310,352,618,89
CYBC1,950,1785,3222,2603,2177,3346,2705,2015
CYBRD1,1307,1481,2274,3240,2165,2241,5201,1344
CYC1,1234,1653,3031,3914,3539,5347,4990,2494
CYCS,1494,2131,2946,4469,3974,5168,6113,2776
CYCSP2,0,2,3,5,0,2,1,0
CYCSP23,1,0,3,4,0,5,4,0
CYCSP3,0,1,4,0,1,1,0,0
CYCSP42,0,0,1,0,0,0,0,0
CYCSP5,0,4,6,4,1,0,0,1
CYCSP52,7,4,4,8,3,5,4,3
CYCSP53,0,0,1,3,0,1,0,0
CYCTP,0,0,0,0,0,0,0,0
CYFIP2,15181,18774,17404,37705,36028,31839,49090,19428
CYGB,149,232,623,1017,566,891,549,173
CYHR1,1949,1831,5392,5174,3924,5959,5210,2342
CYLC1,4,4,10,7,2,0,3,3
CYLC2,0,1,12,5,1,1,0,0
CYLD,2251,2811,2192,5872,6333,6011,8413,3457
CYMP,0,0,2,0,2,0,0,0
CYMP-AS1,0,0,2,0,0,0,0,0
CYP11A1,85,124,228,233,156,155,190,65
CYP11B1,5,3,49,14,5,7,2,5
CYP11B2,2,1,13,7,0,3,1,2
CYP17A1,21,23,68,65,77,87,77,48
CYP19A1,14,11,22,11,5,2,67,2
CYP1A1,10,8,24,13,17,18,14,10
CYP1A2,2,1,8,7,2,0,0,7
CYP1B1,220,982,867,1297,784,921,634,590
CYP1B1-AS1,15,13,47,29,16,19,15,20
CYP1D1P,2,1,11,4,0,4,1,2
CYP20A1,215,184,499,637,438,618,682,178
CYP21A1P,17,57,63,63,32,72,48,40
CYP21A2,10,22,47,27,28,11,36,19
CYP24A1,70,47,16,29,53,20,226,104
CYP26A1,7,21,15,16,6,15,19,2
CYP26B1,350,451,373,420,471,566,946,405
CYP26C1,1,9,3,13,1,4,1,1
CYP27A1,623,830,1800,1816,1193,1956,2192,739
CYP27B1,16,17,94,38,49,59,36,27
CYP27C1,10,12,21,19,3,12,15,2
CYP2A13,1,2,8,4,0,4,4,2
CYP2A6,34,19,80,78,48,89,34,54
CYP2A7,8,5,36,27,14,37,9,24
CYP2A7P1,2,0,0,1,0,1,0,0
CYP2AB1P,2,0,13,12,1,3,0,0
CYP2AC1P,0,0,2,3,4,1,1,0
CYP2B6,3,4,13,8,3,0,1,0
CYP2B7P,25,24,69,55,33,47,31,40
CYP2C18,2,2,14,4,2,0,2,1
CYP2C19,2,3,9,4,2,1,0,2
CYP2C56P,1,1,4,2,0,0,1,0
CYP2C58P,0,0,2,1,0,0,0,0
CYP2C60P,0,0,1,0,0,0,0,0
CYP2C61P,0,1,2,0,0,1,0,3
CYP2C8,38,43,115,127,54,102,73,52
CYP2C9,1,1,8,4,0,1,0,2
CYP2D6,103,146,305,165,131,234,300,144
CYP2D7,62,101,244,123,149,478,215,110
CYP2D8P,35,42,128,74,64,182,55,57
CYP2E1,262,199,403,522,494,632,464,447
CYP2F1,3,4,16,5,3,2,3,3
CYP2G1P,9,9,22,17,4,18,11,7
CYP2G2P,1,2,11,8,1,0,0,1
CYP2J2,311,318,412,322,420,597,1083,362
CYP2R1,79,79,120,166,143,229,217,118
CYP2S1,15,34,53,37,19,26,35,9
CYP2T1P,77,41,87,116,116,148,186,84
CYP2T3P,4,6,19,11,5,4,9,5
CYP2U1,296,265,355,768,559,697,999,359
CYP2U1-AS1,14,10,31,30,27,44,42,14
CYP2W1,9,5,33,13,8,15,8,6
CYP39A1,25,22,58,75,25,34,71,15
CYP3A137P,0,0,1,0,0,1,0,0
CYP3A4,17,9,39,32,18,17,16,17
CYP3A43,4,3,24,15,4,18,10,5
CYP3A5,24,31,76,67,45,84,104,51
CYP3A52P,0,0,2,2,0,0,0,0
CYP3A54P,0,0,0,0,0,0,0,0
CYP3A7,10,7,27,27,12,11,24,6
CYP46A1,6269,8797,18209,34333,22978,32587,23349,13754
CYP4A11,18,17,22,19,28,29,45,28
CYP4A22,7,4,8,11,10,17,16,7
CYP4A27P,2,1,3,6,4,1,2,3
CYP4A43P,0,0,1,2,1,2,0,1
CYP4A44P,0,0,1,0,1,0,1,0
CYP4B1,7,6,13,42,16,15,5,3
CYP4F11,223,435,580,620,326,422,700,465
CYP4F12,40,28,11,170,54,39,44,2
CYP4F2,7,5,5,28,2,0,6,2
CYP4F22,3,3,11,10,0,3,0,2
CYP4F26P,8,7,23,16,5,203,4,1
CYP4F27P,0,0,0,0,0,0,0,0
CYP4F29P,149,302,1793,1404,418,1675,246,369
CYP4F3,23,34,19,55,42,20,40,11
CYP4F30P,0,0,3,0,0,0,0,0
CYP4F32P,56,21,145,108,33,63,64,173
CYP4F35P,13,37,78,75,42,90,69,58
CYP4F36P,1,1,3,0,0,0,0,0
CYP4F44P,1,0,0,1,0,0,0,0
CYP4F60P,0,0,2,0,1,2,1,1
CYP4F62P,1,3,3,3,0,0,1,1
CYP4F8,1,1,19,7,1,1,0,0
CYP4V2,690,534,774,1355,1218,1327,2201,672
CYP4X1,278,280,254,640,589,716,1152,323
CYP4Z1,18,11,39,46,21,37,28,13
CYP4Z2P,4,2,11,4,4,3,4,3
CYP51A1,14,14,22,25,22,12,50,17
CYP51A1-AS1,5,11,13,12,11,24,28,18
CYP7A1,7,3,11,5,4,1,8,3
CYP7B1,148,210,99,242,413,153,709,101
CYP8B1,11,4,15,7,9,9,13,7
CYREN,162,138,285,399,276,396,474,133
CYRIA,2495,3601,2433,5207,6485,5555,10330,3127
CYRIB,1480,2218,1316,4041,4098,4438,6490,2355
CYS1,134,118,206,450,201,237,346,86
CYSLTR1,12,6,21,34,17,30,47,3
CYSLTR2,94,67,277,226,89,83,106,70
CYSRT1,60,85,85,150,96,177,113,63
CYSTM1,477,578,1231,1463,1337,1659,1634,1018
CYTB,253647,269724,1032809,1204080,492229,678165,940772,685665
CYTH1,1247,1440,2045,3419,2991,3920,4433,2017
CYTH1P1,1,1,8,1,0,2,0,3
CYTH2,498,584,1215,1498,1143,1548,1737,880
CYTH3,1032,1143,2345,3788,3019,3597,3814,1571
CYTH4,139,581,194,397,289,359,587,245
CYTIP,8,21,15,40,21,17,29,3
CYTL1,13,15,11,39,34,64,45,6
CYTOR,11,15,68,11,28,70,64,24
CYYR1,86,107,154,404,202,308,343,43
CYYR1-AS1,21,12,40,29,28,25,39,19
CZIB,415,467,829,1099,802,1290,1504,742
D21S2088E,3,0,5,12,6,13,13,1
D2HGDH,463,596,783,1443,890,2027,1465,574
DAAM1,692,908,1746,1655,1172,1491,2089,961
DAAM2,5948,3819,10975,15468,9094,10777,12234,3895
DAAM2-AS1,406,153,330,400,774,813,685,118
DAB1,87,142,82,149,156,146,396,112
DAB1-AS1,3,5,13,7,2,14,4,2
DAB2,158,288,471,671,407,451,526,168
DAB2IP,3035,4222,10232,16570,10952,13549,10020,5639
DACH2,610,673,290,996,1190,949,2732,868
DACT1,171,299,279,364,209,179,676,249
DACT2,1316,1974,1985,7540,6154,7395,3963,3186
DACT3,1337,1961,2891,3770,2267,3538,5002,1951
DACT3-AS1,25,22,105,69,53,71,65,38
DAD1,293,351,843,856,572,815,1335,440
DAG1,2227,2326,2739,4436,5067,4119,6581,2192
DAGLA,1538,2009,2423,6468,4639,4768,4441,1954
DAGLB,744,1104,1936,2283,1803,1866,2528,1571
DALRD3,368,492,603,1149,833,1127,1294,594
DANCR,492,466,1494,1355,987,1388,1925,1034
DAND5,7,6,24,27,14,14,4,4
DANT2,111,47,166,248,114,285,131,142
DAO,29,20,119,194,26,41,61,18
DAOA,2,2,5,2,0,0,0,0
DAOA-AS1,1,1,4,5,0,1,0,0
DAP,815,1233,1325,2216,1630,2033,2711,1119
DAP3,510,517,1193,1149,920,1171,1720,842
DAPK1,2906,3405,4686,7321,6985,6444,9227,4472
DAPK1-IT1,5,2,32,24,9,16,10,12
DAPK2,154,86,207,215,207,311,374,82
DAPK3,635,884,2103,2650,1896,2716,2640,1219
DAPL1,0,2,3,2,1,1,8,2
DAPP1,5,18,21,15,6,7,18,12
DARS1,965,1369,2510,2557,2187,3021,4299,1517
DARS1-AS1,13,11,46,39,20,36,22,13
DARS2,158,175,281,323,271,310,545,193
DAW1,127,141,103,373,255,239,479,234
DAXX,609,650,1757,1607,1241,1697,1966,837
DAZ1,0,0,0,0,0,0,0,0
DAZ2,0,0,0,0,0,0,0,0
DAZ3,0,0,0,0,0,0,0,0
DAZ4,0,0,0,0,0,0,0,0
DAZAP1,866,855,2874,2066,1491,2538,2090,1455
DAZAP2,2152,2934,4027,6003,4818,5554,8916,3241
DAZL,1,2,11,7,5,1,1,1
DBF4,65,68,185,220,185,304,311,140
DBF4B,431,517,1473,1088,800,1317,1324,885
DBF4P2,1,0,2,0,0,0,0,0
DBF4P3,0,0,0,0,0,0,0,0
DBH,29,38,50,54,52,38,53,12
DBH-AS1,84,78,121,158,95,134,131,70
DBI,209,306,585,590,326,589,811,617
DBIL5P,19,32,43,47,44,87,94,23
DBIL5P2,9,2,36,20,18,36,22,7
DBN1,2635,4006,7838,10939,9130,10991,9509,6064
DBNDD1,832,1188,2703,4900,2592,3562,2659,1518
DBNDD2,91,88,249,232,256,444,385,80
DBNL,1592,2141,2991,4565,3542,4555,5284,2383
DBP,1065,962,1578,3048,1949,3092,2716,1560
DBR1,116,139,245,289,258,322,432,197
DBT,1582,1757,1915,4246,3788,3673,5338,2084
DBX1,1,0,11,2,2,1,2,1
DBX2,27,39,95,90,34,27,205,50
DCAF1,629,722,1063,1252,1307,1133,1984,862
DCAF10,995,1022,1545,2427,2324,2588,3237,1256
DCAF11,1599,1860,2594,4490,3719,4454,5715,2271
DCAF12,361,540,856,904,701,635,1219,543
DCAF12L1,1,0,4,3,1,2,5,2
DCAF12L2,81,106,36,172,145,163,250,103
DCAF13,288,319,532,551,582,710,1165,367
DCAF13P1,2,2,5,3,1,0,2,1
DCAF15,431,513,692,1333,910,1414,1247,709
DCAF16,702,765,709,1346,1142,1259,2329,797
DCAF17,364,351,407,782,638,622,1167,401
DCAF4,148,243,311,391,335,398,472,220
DCAF4L1,14,16,74,24,16,25,28,19
DCAF4L2,0,2,9,1,4,0,4,1
DCAF5,2223,2355,5675,5165,5321,5254,7163,3296
DCAF6,1200,1492,1633,3416,2770,3044,4510,1538
DCAF7,2886,3466,5317,7533,7196,7351,10851,4110
DCAF8,868,914,1018,2149,1908,2453,3225,1467
DCAF8L1,0,0,2,3,1,1,0,0
DCAF8L2,2,0,4,1,0,0,0,0
DCAKD,1296,1703,2569,3454,2684,2925,4500,2028
DCANP1,0,0,0,0,0,0,0,0
DCBLD1,35,94,148,114,59,108,97,108
DCBLD2,308,291,368,652,537,626,841,284
DCC,554,770,463,1050,1504,822,1882,512
DCD,0,0,2,1,1,1,0,0
DCDC1,120,111,126,252,137,88,196,61
DCDC2,99,107,38,245,120,111,197,52
DCDC2B,81,58,223,194,120,258,138,97
DCDC2C,3,1,6,0,2,1,5,1
DCHS1,1958,1598,3002,2693,2796,3697,5182,1984
DCHS2,612,608,604,912,1290,898,2293,524
DCK,602,742,638,1734,1477,1774,2860,1144
DCLK1,4456,6200,2707,11099,10283,6825,17218,4752
DCLK2,2851,3406,5090,7450,5590,5619,10550,4214
DCLK3,738,825,667,2013,1604,1320,2692,1407
DCLRE1A,260,333,294,610,598,563,1051,386
DCLRE1B,135,153,147,253,266,253,436,203
DCLRE1C,175,157,497,519,370,532,507,256
DCN,398,513,1466,1844,1007,1689,1345,569
DCP1B,214,254,361,472,409,440,718,285
DCP2,657,818,687,1319,1336,1182,2418,938
DCPS,84,112,222,269,193,250,292,135
DCST1,5,7,27,32,16,14,15,10
DCST2,53,33,127,101,53,109,84,55
DCSTAMP,0,4,15,14,11,13,4,3
DCT,123,133,216,267,229,202,323,198
DCTD,739,902,1312,1933,1693,1769,2820,1398
DCTN1,9566,12963,12145,25755,25593,25035,32271,15516
DCTN1-AS1,203,164,156,582,442,516,720,316
DCTN2,1730,2338,2643,4749,4222,5134,6538,3054
DCTN3,791,793,1575,1999,1794,2621,2966,1541
DCTN4,1464,1861,1991,3393,2971,2876,5566,1913
DCTN5,1070,1274,1351,2175,2519,1685,4108,1154
DCTN6,262,312,560,700,642,949,1187,541
DCTPP1,83,161,232,307,266,374,468,162
DCUN1D1,403,417,574,763,929,849,1649,556
DCUN1D2,209,197,527,548,398,577,540,351
DCUN1D3,183,166,480,339,374,390,630,278
DCUN1D4,732,718,855,1464,1379,1618,2474,842
DCUN1D5,117,119,263,199,254,258,475,225
DCX,517,445,496,858,1229,1191,1681,503
DCXR,598,698,1662,1758,1355,2558,2188,1215
DCXR-DT,4,5,7,9,2,10,11,3
DDA1,643,681,1400,1827,1587,2051,2368,1211
DDAH1,4543,6119,8956,6987,8700,8832,18855,6030
DDAH2,550,697,1480,1564,886,1428,1558,582
DDB1,4906,6988,7251,11107,10919,9376,16729,6198
DDB2,170,175,271,352,314,343,296,122
DDC,29,49,37,114,109,134,131,79
DDC-AS1,3,1,5,0,0,0,3,0
DDHD1,442,507,704,942,918,946,1499,595
DDHD2,2410,3028,2283,6778,6212,5834,9606,3426
DDI1,3,0,6,0,5,3,0,2
DDI2,519,529,821,1241,1264,1361,1917,807
DDIAS,8,11,14,22,14,18,24,10
DDIT3,84,108,976,269,189,271,365,136
DDIT4,101,405,1813,335,166,269,248,196
DDIT4L,92,187,272,747,504,1078,275,161
DDN,17213,18392,15787,63192,49835,52582,53696,31659
DDN-AS1,34,24,104,85,53,88,73,47
DDO,199,273,407,650,532,883,646,283
DDOST,1362,2030,2844,3717,3594,4163,5351,2071
DDR1,7065,9235,19035,23052,9699,10775,18587,6187
DDR2,467,833,846,2226,857,965,1357,338
DDRGK1,845,907,3005,2684,2148,3062,2736,1865
DDT,2,2,1,8,4,8,6,6
DDTL,9,13,31,24,17,43,27,12
DDTP1,2,0,8,4,0,0,4,1
DDX1,1322,1770,1476,3183,3498,3542,5526,1973
DDX10,517,587,1016,1093,977,1245,1820,948
DDX10P1,11,9,36,32,19,22,25,11
DDX10P2,2,1,2,4,2,4,2,2
DDX11,168,258,170,368,277,569,652,477
DDX11-AS1,4,7,20,17,12,11,14,6
DDX11L16,2,0,0,1,1,1,0,0
DDX11L2,0,1,1,2,0,0,0,0
DDX17,6109,6306,9042,10029,10617,12432,19341,7169
DDX18,874,1141,1985,1956,2097,2424,3430,1349
DDX18P1,7,1,11,6,2,6,8,0
DDX18P2,2,0,11,3,0,0,0,1
DDX18P3,1,2,5,3,1,0,0,1
DDX19A,555,578,1598,1348,1052,1379,1629,862
DDX19B,131,131,225,259,215,293,356,161
DDX20,176,171,371,333,369,365,646,243
DDX21,813,1400,3128,1881,2022,2271,3045,1847
DDX23,1287,1624,3516,2810,2356,2928,3693,2044
DDX24,5696,7317,7788,14599,13793,15509,22984,9775
DDX25,557,550,760,1101,1065,1377,1867,895
DDX27,428,500,1466,958,918,1186,1433,723
DDX28,182,135,178,417,327,433,558,279
DDX31,148,155,429,219,283,298,455,193
DDX39A,199,337,704,727,498,915,798,412
DDX39B,765,642,1718,1294,1065,1607,1723,1053
DDX39B-AS1,0,2,4,3,1,0,5,1
DDX3P2,1,0,7,1,1,2,2,0
DDX3X,2973,3816,3729,5865,6648,6094,10775,3819
DDX3Y,0,0,1,1,1,5,3,0
DDX4,9,5,37,31,15,7,17,9
DDX41,1504,2230,3380,5211,4071,5430,5043,2923
DDX42,2253,2784,3709,6802,5864,6049,7202,4058
DDX43,3,5,27,8,5,7,12,6
DDX43P2,1,0,6,2,1,0,0,0
DDX43P3,0,0,0,0,0,0,0,0
DDX46,957,1026,1863,2414,2072,2516,3126,1256
DDX47,10,7,32,25,14,24,24,20
DDX49,527,661,1432,1475,1141,1565,1822,814
DDX5,4664,5524,7898,9060,9099,11072,14817,7933
DDX50,420,570,893,925,909,1039,1681,658
DDX51,1036,1285,3822,3261,2400,4683,3067,1708
DDX53,0,0,6,5,2,4,1,0
DDX54,752,1019,1496,2563,1950,2413,2416,1043
DDX55,179,216,809,738,405,781,758,436
DDX55P1,21,19,301,103,47,120,41,53
DDX56,748,777,2018,1853,1395,1962,2173,1138
DDX58,258,280,841,487,440,574,962,427
DDX59,128,182,391,279,209,251,467,180
DDX59-AS1,12,9,14,15,13,12,10,18
DDX6,2332,2654,1883,3755,5045,3579,8608,2939
DDX60,137,185,166,266,197,245,400,120
DDX60L,83,103,143,167,86,103,197,75
DEAF1,2418,3282,5263,9700,6024,8766,7135,4423
DECR1,411,424,967,949,831,1146,1649,725
DECR2,138,147,454,375,280,511,387,280
DEDD,262,301,755,652,498,650,872,483
DEDD2,576,679,4037,2120,1430,1897,2128,874
DEF6,95,144,220,224,131,236,223,96
DEF8,2210,2745,5243,6839,5262,7283,6902,3189
DEFA1,0,0,0,0,0,0,0,0
DEFA10P,0,0,0,0,0,0,0,0
DEFA11P,0,1,1,0,0,0,0,0
DEFA1B,0,0,0,0,0,0,0,0
DEFA3,0,0,1,1,0,0,0,1
DEFA4,0,0,1,0,0,0,1,0
DEFA5,0,0,5,2,2,2,0,0
DEFA6,0,2,5,0,0,0,0,0
DEFA7P,0,0,0,0,0,0,0,0
DEFA8P,0,0,1,0,0,0,0,0
DEFA9P,0,0,0,0,0,0,0,0
DEFB1,0,0,1,1,0,0,0,0
DEFB103B,0,0,0,0,0,0,0,0
DEFB104A,1,0,3,0,0,0,0,0
DEFB104B,0,0,0,0,0,0,0,0
DEFB105A,0,0,1,0,0,0,0,0
DEFB106A,0,0,0,0,0,0,0,0
DEFB106B,0,0,0,0,0,0,0,0
DEFB107A,0,0,0,0,0,0,0,0
DEFB108B,1,0,1,2,0,2,1,0
DEFB108F,1,0,2,0,0,0,0,0
DEFB109B,0,0,0,0,1,1,2,0
DEFB109C,0,0,0,0,0,0,0,0
DEFB109F,61,35,74,68,88,99,139,60
DEFB110,0,0,4,2,0,0,0,0
DEFB112,0,1,1,1,0,0,1,0
DEFB113,0,0,1,0,0,0,0,0
DEFB114,0,1,1,0,0,0,0,0
DEFB115,0,0,1,0,0,0,0,0
DEFB116,0,0,3,0,0,0,0,0
DEFB118,0,1,8,4,1,0,0,0
DEFB119,0,0,4,0,3,0,0,1
DEFB121,0,1,0,1,0,0,0,0
DEFB122,0,3,3,1,0,0,0,1
DEFB123,0,0,3,1,0,0,0,0
DEFB124,0,0,4,0,0,1,0,0
DEFB125,1,0,1,3,0,0,0,1
DEFB126,0,0,8,3,1,0,0,0
DEFB127,1,0,6,0,1,0,0,0
DEFB128,0,0,3,1,1,0,0,0
DEFB129,0,0,1,0,0,0,0,0
DEFB130A,0,0,0,0,0,0,0,0
DEFB130B,0,0,2,0,0,0,0,0
DEFB130C,2,0,1,3,0,0,2,0
DEFB130D,2,0,3,1,0,0,0,0
DEFB131A,0,0,1,0,0,0,0,0
DEFB131B,2,1,0,2,1,2,2,0
DEFB131C,0,0,0,0,1,0,0,0
DEFB132,2,0,3,0,0,0,0,0
DEFB133,0,0,0,0,0,0,0,0
DEFB134,3,1,4,4,5,7,1,2
