symbol,SL6655,SL7393,SL7396,SL7625,SL7632,SL7805
EXT2,2063,1834,1046,2729,2146,2837
EXTL1,8778,8555,3936,10216,7394,10581
EXTL2,2453,2399,1289,2730,3001,2914
EXTL3,7518,6871,3752,9857,8015,11103
EXTL3-AS1,50,102,57,85,83,92
EYA1,27,257,137,85,77,64
EYA2,53,452,308,509,190,186
EYA3,959,1190,699,1290,1101,1326
EYA4,110,155,89,120,163,136
EYS,88,87,66,70,104,180
EZH1,4936,6064,4253,5795,5482,6603
EZH2,43,98,85,415,55,78
EZHIP,14,22,17,25,14,16
EZR,844,6758,4269,3454,2341,2217
EZR-AS1,0,2,1,1,1,0
F10,108,126,108,118,77,164
F10-AS1,2,3,5,1,3,4
F11,3,22,14,9,5,13
F11-AS1,7,25,30,23,13,14
F11R,188,259,196,405,284,178
F12,114,153,132,182,149,99
F13A1,112,323,196,638,262,361
F13B,0,3,2,0,0,10
F2,8,14,11,11,8,13
F2R,104,162,127,156,117,178
F2RL1,12,29,16,72,22,29
F2RL2,10,12,4,12,13,10
F2RL3,16,15,11,10,14,16
F3,124,2019,1286,562,517,538
F5,137,185,196,303,271,183
F7,404,368,126,345,351,284
F8,1003,997,639,1132,1110,1428
F9,0,0,0,0,0,0
FA2H,317,1769,1395,937,968,1953
FAAH,2319,2363,2263,2582,2027,2636
FAAH2,42,46,42,38,48,45
FAAP100,1748,2518,1673,1922,1602,2103
FAAP20,614,796,807,998,750,600
FAAP24,26,39,45,39,39,37
FABP1,0,0,9,3,5,2
FABP12,2,0,1,1,2,1
FABP12P1,0,0,0,0,0,2
FABP2,5,5,8,5,4,7
FABP3,1488,1510,1070,1726,1493,1578
FABP4,2,3,5,2,0,3
FABP5,72,127,120,145,102,103
FABP5P13,0,0,0,0,0,5
FABP5P3,1,5,2,1,1,5
FABP5P5,0,0,0,0,0,1
FABP5P6,0,3,1,1,0,4
FABP6,94,47,95,114,74,115
FABP7,191,639,543,567,365,346
FABP9,0,0,0,0,0,0
FADD,50,37,46,62,42,87
FADS1,1706,5972,3929,3791,3107,4127
FADS2,3317,12689,6892,8773,5288,7491
FADS3,2209,2858,2691,2145,1971,2259
FADS6,1022,857,535,1177,838,985
FAF1,1655,1964,1290,2063,1947,2614
FAF2,1887,2464,1556,2607,2208,2663
FAF2P1,0,0,1,0,1,6
FAH,154,420,338,376,202,274
FAHD1,775,816,658,1310,883,1009
FAHD2A,1177,1598,1255,1124,1170,1335
FAHD2B,509,843,586,648,687,792
FAHD2CP,406,725,616,495,425,641
FAIM,158,296,197,230,197,274
FAIM2,109019,68076,52806,108979,86097,114650
FALEC,23,44,32,25,43,66
FAM102A,7327,8872,5135,9504,7287,9993
FAM102B,3273,2453,1399,4038,3351,4659
FAM104A,297,407,259,459,401,529
FAM104B,427,425,304,578,505,590
FAM106A,34,2,45,29,2,89
FAM107A,19870,73130,71561,35266,32950,39114
FAM107B,609,2236,2184,1252,1079,1634
FAM110A,147,222,117,311,226,175
FAM110B,1358,1447,838,1750,1654,1724
FAM110C,435,348,148,593,387,304
FAM110D,38,54,33,53,53,39
FAM111A,180,365,258,281,227,227
FAM111A-DT,52,75,50,74,48,86
FAM111B,1,3,2,113,2,6
FAM114A1,162,510,367,461,329,309
FAM114A2,253,396,286,399,369,398
FAM117A,207,331,261,307,218,336
FAM117B,1101,971,683,1219,1216,1500
FAM118A,850,2060,436,695,622,1344
FAM118B,431,841,475,690,591,622
FAM120A,3012,4725,2472,4702,3828,4363
FAM120AOS,1548,1837,1263,1686,1620,1957
FAM120B,2031,2653,1657,2548,2390,3007
FAM120C,681,1234,752,1067,859,1446
FAM122A,732,919,469,922,807,886
FAM122B,2001,1980,1435,2559,2107,2522
FAM122C,131,200,142,188,192,195
FAM124A,870,1454,1181,1131,1024,1533
FAM124B,15,64,14,55,45,27
FAM126A,351,716,508,544,411,709
FAM126B,5323,4720,2616,6366,6024,7497
FAM131A,11630,10187,5762,13895,10253,12469
FAM131B,16012,11152,7164,16560,12821,20845
FAM131C,408,563,357,474,403,463
FAM133A,391,493,396,630,520,510
FAM133B,445,786,631,756,533,527
FAM133EP,2,0,1,0,0,3
FAM133FP,1,0,0,2,0,2
FAM133GP,1,2,4,0,0,1
FAM135A,1106,1404,864,1304,1133,1996
FAM135A-AS1,0,4,1,1,2,1
FAM135B,2597,2151,1032,2665,2527,3678
FAM136A,582,644,425,879,682,759
FAM138A,0,0,0,0,0,0
FAM138B,0,1,1,0,3,2
FAM138C,0,0,0,0,0,0
