symbol,SL31505,SL31508,SL32268,SL6670,SL7380
AFDN,2739,2039,2693,4628,6762
AFF1,726,617,632,1080,1503
AFF2,466,101,461,175,348
AFF3,1137,1579,1091,2035,2979
AFF4,2628,4002,2942,5464,11763
AFG1L,150,179,169,234,543
AFG3L1P,504,371,585,1041,716
AFG3L2,934,904,860,1423,2337
AFG3L2P1,0,0,0,0,0
AFM,0,0,0,0,0
AFMID,839,272,919,807,493
AFP,0,0,1,0,1
AFTPH,1650,1538,1678,3268,4832
AGA,199,141,263,386,531
AGAP1,8668,9046,10720,11205,17809
AGAP1-IT1,9,7,7,12,11
AGAP11,3,0,2,1,1
AGAP2,16174,33997,22051,30350,33811
AGAP2-AS1,2,7,11,19,14
AGAP3,12699,12405,20566,17280,17135
AGAP4,70,52,36,124,1
AGAP5,13,7,10,12,8
AGAP6,307,282,359,535,422
AGAP9,3,3,6,8,6
AGBL1-AS1,0,3,5,2,2
AGBL2,10,94,124,39,79
AGBL3,93,94,111,156,233
AGBL4,204,231,230,350,644
AGBL4-AS1,0,0,0,3,0
AGBL4-IT1,0,1,5,4,1
AGBL5,909,806,884,1299,1738
AGBL5-AS1,3,5,3,4,6
AGER,150,90,130,184,175
AGFG1,1387,1699,1526,2595,4871
AGFG2,2173,3489,2546,4288,4996
AGGF1,1108,1005,1065,2596,3627
AGGF1P4,0,0,0,0,0
AGGF1P6,0,0,0,0,0
AGGF1P7,0,0,0,0,0
AGGF1P8,0,0,0,0,0
AGGF1P9,0,0,0,0,0
AGK,1072,914,1043,1407,2214
AGKP1,0,0,0,0,0
AGKP2,0,0,0,1,0
AGL,567,725,733,1601,2836
AGMAT,52,34,76,26,54
AGMO,14,9,29,29,30
AGO1,2289,2214,2415,3570,6304
AGO2,331,529,419,761,1041
AGO3,1209,1041,1261,2484,2938
AGO4,709,768,988,1251,2021
AGPAT1,1825,1552,1886,3078,4289
AGPAT2,422,225,634,374,370
AGPAT3,4902,4090,5367,6501,10178
AGPAT4,2442,1572,1939,2274,4678
AGPAT5,1053,1180,1296,2258,4256
AGPAT5P1,0,0,0,0,0
AGPS,732,560,679,1142,2132
AGR2,0,1,1,0,0
AGR3,0,4,4,0,0
AGRN,9094,10828,20782,18406,8995
AGRP,22,24,25,75,45
AGT,4803,3086,9874,10427,10321
AGTPBP1,1371,859,1448,1278,2620
AGTR1,5,6,6,23,4
AGTR2,0,0,0,0,0
AGTRAP,395,198,603,501,447
AGXT,1,1,0,4,1
AGXT2,1,0,0,0,1
AHCTF1,710,891,821,1710,2376
AHCY,1480,1962,1912,2579,3742
AHCYL1,10611,13366,15625,23175,41736
AHCYL2,2095,2516,2425,3905,6966
AHCYP2,3,5,4,3,7
AHCYP3,1,3,2,9,9
AHCYP4,0,0,0,1,1
AHCYP5,1,4,2,9,13
AHCYP7,5,2,0,3,1
AHDC1,3635,6531,6692,6624,7422
AHI1,1633,1174,2007,4010,4350
AHNAK,5630,4954,7899,9236,15912
AHNAK2,697,409,1180,353,932
AHR,299,306,306,338,685
AHSA1,1818,1400,1858,2711,3697
AHSA2P,1247,498,1147,1102,688
